       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      3146.92700,       -011.09546,        010.91703,        011.09546,        010.91703
      3146.99000,       -011.57990,       -017.37919,        011.57990,        017.37919
      3147.06000,       -019.12133,       -007.35786,        019.12133,        007.35786
      3147.11500,       -008.18986,       -019.84440,        008.18986,        019.84440
      3147.17100,       -016.86026,       -007.03854,        016.86026,        007.03854
      3147.23000,       -015.39011,       -006.78319,        015.39011,        006.78319
      3147.29000,       -017.97232,        005.24426,        017.97232,        005.24426
      3147.34300,       -020.83854,       -011.15509,        020.83854,        011.15509
      3147.39800,       -014.43054,       -013.02253,        014.43054,        013.02253
      3147.46000,       -021.44403,        006.28276,        021.44403,        006.28276
      3147.52000,       -020.06209,       -018.89657,        020.06209,        018.89657
      3147.57600,       -013.03929,       -038.30347,        013.03929,        038.30347
      3147.63100,       -019.03910,       -029.69233,        019.03910,        029.69233
      3147.69100,       -019.62478,       -048.57563,        019.62478,        048.57563
      3147.75300,       -027.41287,       -054.97514,        027.41287,        054.97514
      3147.80700,       -034.32072,       -052.26493,        034.32072,        052.26493
      3147.86600,       -020.88177,       -054.12578,        020.88177,        054.12578
      3147.92700,       -022.46858,       -050.50140,        022.46858,        050.50140
      3147.98100,       -032.43486,       -053.34292,        032.43486,        053.34292
      3148.03800,       -021.79759,       -046.04762,        021.79759,        046.04762
      3148.09800,       -024.48873,       -039.45654,        024.48873,        039.45654
      3148.15600,       -023.67494,       -021.08357,        023.67494,        021.08357
      3148.21100,       -021.21487,        020.18433,        021.21487,        020.18433
      3148.26600,       -020.21224,       -019.69142,        020.21224,        019.69142
      3148.33000,       -022.25906,       -016.07304,        022.25906,        016.07304
      3148.38900,       -022.55865,       -015.15086,        022.55865,        015.15086
      3148.44500,       -017.37173,       -011.81770,        017.37173,        011.81770
      3148.50200,       -020.00755,       -012.29494,        020.00755,        012.29494
      3148.56200,       -020.53999,       -021.71766,        020.53999,        021.71766
      3148.62900,       -014.14657,        010.09007,        014.14657,        010.09007
      3148.68700,       -021.50601,       -021.23266,        021.50601,        021.23266
      3148.74300,       -025.04279,       -013.85763,        025.04279,        013.85763
      3148.80000,       -023.76973,       -012.66322,        023.76973,        012.66322
      3148.86000,       -016.42744,       -013.21146,        016.42744,        013.21146
      3148.91500,       -016.51451,       -012.84609,        016.51451,        012.84609
      3148.97200,       -022.62561,       -020.01889,        022.62561,        020.01889
      3149.03100,       -028.58469,       -020.94158,        028.58469,        020.94158
      3149.08900,       -013.91616,       -011.18963,        013.91616,        011.18963
      3149.14300,       -018.97672,        010.43947,        018.97672,        010.43947
      3149.20300,       -017.85677,       -016.42233,        017.85677,        016.42233
      3149.26100,       -027.49527,       -011.35695,        027.49527,        011.35695
      3149.32100,       -009.82591,        013.77565,        009.82591,        013.77565
      3149.37900,       -019.81931,        019.47829,        019.81931,        019.47829
      3149.43700,       -017.88874,        031.76784,        017.88874,        031.76784
      3149.49800,       -017.97775,        030.65503,        017.97775,        030.65503
