       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    3006.4540000,       00.0277223,       00.3259570,       02.8822400,       00.0277739,       00.0618433,       02.8876000,      -00.1660146,       00.0886533,       02.9304000,      -00.1885013,      -00.2283344,       02.9277600,      -00.1869896,      -00.3933098,       02.9042800,       00.2207343,       00.0622939,       02.9086400,       00.2508378,      -00.2047354,       02.9606000,       00.2952287,      -00.4429957,       02.9146000,      -00.0658103,      -00.4253343,       02.7984010,      -00.0677274,      -00.8671479,       02.8799200,      -00.0690735,      -01.2023080,       02.9371600,       00.1474542,      -00.4344233,       02.8582000,       00.1998054,      -00.8600196,       02.9315210,       00.1554382,      -01.2333370,       03.0129600,       00.0054805,       00.3766342,       02.9048000,       00.0757458,       00.3494931,       02.8926000,      -00.0432291,       00.3330049,       02.9445600,       00.1264742,       00.3345474,       02.9582000
    3006.5250000,       00.0530477,       00.3250840,       02.8745200,       00.0279451,       00.0878970,       02.9054000,      -00.1662435,       00.0887756,       02.9344410,      -00.1891426,      -00.2291112,       02.9377200,      -00.1900053,      -00.3996530,       02.9511200,       00.2206372,       00.0622665,       02.9073600,       00.2505022,      -00.2044615,       02.9566400,       00.2953097,      -00.4431172,       02.9154000,      -00.0657078,      -00.4246716,       02.7940400,      -00.0674142,      -00.8631373,       02.8666000,      -00.0441352,      -01.2306020,       03.0062800,       00.1449882,      -00.4271581,       02.8104000,       00.2013675,      -00.8667435,       02.9544400,       00.1554733,      -01.2336150,       03.0136400,       00.0054331,       00.3733720,       02.8796400,       00.1010151,       00.3484927,       02.8843200,      -00.0435803,       00.3357100,       02.9684800,       00.1254908,       00.3319464,       02.9352000
    3006.5830000,       00.0277700,       00.3265180,       02.8872000,       00.0276781,       00.0870572,       02.8776400,      -00.1633316,       00.0872205,       02.8830400,      -00.1869329,      -00.2264345,       02.9033990,      -00.1880197,      -00.3954765,       02.9202800,       00.2204732,       00.0878909,       02.9052000,       00.2529221,      -00.2064366,       02.9852010,       00.2975301,      -00.4464490,       02.9373200,      -00.0667886,      -00.4316570,       02.8400000,      -00.0675468,      -00.8426285,       02.8722400,      -00.0439050,      -01.2241840,       02.9906000,       00.1458136,      -00.4295900,       02.8264010,       00.2004515,      -00.8628005,       02.9410000,       00.1549285,      -01.2292920,       03.0030800,       00.0054538,       00.3747983,       02.8906400,       00.0759908,       00.3762660,       02.9019600,      -00.0436860,       00.3595311,       02.9756800,       00.1256088,       00.3322585,       02.9379600
    3006.6490000,       00.0276450,       00.3250479,       02.8742010,       00.0274757,       00.0864206,       02.8566000,      -00.1677255,       00.0895670,       02.9606000,      -00.1907162,      -00.2310172,       02.9621600,      -00.1885683,      -00.4225097,       02.9288000,       00.2197448,       00.0620147,       02.8956000,       00.2500007,      -00.2040521,       02.9507200,       00.3004555,      -00.4508386,       02.9662010,      -00.0656927,      -00.4245742,       02.7934000,      -00.0672430,      -00.8609452,       02.8593200,      -00.0436296,      -01.2165040,       02.9718400,       00.1460757,      -00.4303622,       02.8314810,       00.1760685,      -00.8707333,       02.9680400,       00.1558365,      -01.2364970,       03.0206800,       00.0054648,       00.3755503,       02.8964400,       00.0756410,       00.3490098,       02.8886000,      -00.0431880,       00.3326882,       02.9417600,       00.1254652,       00.3318785,       02.9346010
    3006.7060000,       00.0273722,       00.3218404,       02.8458400,       00.0277431,       00.0872617,       02.8844000,      -00.1647320,       00.0879684,       02.9077600,      -00.1906389,      -00.2309237,       02.9609610,      -00.1877699,      -00.3949512,       02.9164000,       00.2205947,       00.0622545,       02.9068000,       00.2501091,      -00.2041406,       02.9520000,       00.3232984,      -00.5133171,       03.1917140,      -00.0661066,      -00.4272493,       02.8110000,      -00.0669598,      -00.8353060,       02.8472800,      -00.0441692,      -01.2315520,       03.0086000,       00.1455247,      -00.4287388,       02.8208000,       00.1725377,      -00.8532718,       02.9085200,       00.1536491,      -01.2191410,       02.9782800,       00.0054554,       00.3749072,       02.8914800,       00.0750544,       00.3463033,       02.8662000,      -00.0431709,       00.3325571,       02.9406000,       00.1254703,       00.3318921,       02.9347210
    3006.7650000,       00.0530277,       00.3249619,       02.8734410,       00.0276315,       00.0869108,       02.8728000,      -00.1403317,       00.0887864,       02.9348010,      -00.2173910,      -00.2315507,       02.9690010,      -00.1653597,      -00.3952816,       02.9188400,       00.2212261,       00.0624327,       02.9151200,       00.2546809,      -00.2078722,       03.0059600,       00.3140268,      -00.4985962,       03.1001820,      -00.0666654,      -00.4308606,       02.8347600,      -00.0679645,      -00.8701831,       02.8900000,      -00.0433694,      -01.2092510,       02.9541200,       00.1466391,      -00.4320219,       02.8424000,       00.1984340,      -00.8541169,       02.9114010,       00.1773072,      -01.2234960,       02.9889200,       00.0275892,       00.3719147,       02.8684000,       00.1012281,       00.3492273,       02.8904010,      -00.0433089,       00.3336201,       02.9500000,       00.1251351,       00.3310055,       02.9268810
    3006.8190000,       00.0529126,       00.3242561,       02.8672000,       00.0274199,       00.0610552,       02.8508000,      -00.1376922,       00.0871165,       02.8796000,      -00.2187968,      -00.2066440,       02.9882000,      -00.2148166,      -00.3260227,       02.9338410,       00.2198055,       00.0620318,       02.8964000,       00.2487163,      -00.2030038,       02.9355600,       00.2978988,      -00.4729889,       02.9409600,      -00.0664076,      -00.4291948,       02.8238000,      -00.0676747,      -00.8442244,       02.8776800,      -00.0429343,      -01.1971180,       02.9244800,       00.1462779,      -00.4309579,       02.8354000,       00.1974526,      -00.8242941,       02.8970000,       00.1782942,      -01.2303070,       03.0055600,       00.0276650,       00.3729364,       02.8762800,       00.1018725,       00.3514504,       02.9088000,      -00.0436719,       00.3364158,       02.9747200,       00.1255421,       00.3320821,       02.9364000
    3006.8740000,       00.0274526,       00.2975659,       02.8542000,       00.0278739,       00.0876731,       02.8980000,      -00.1397942,       00.0884464,       02.9235600,      -00.2395010,      -00.1817199,       02.9585600,      -00.2632943,      -00.2999516,       02.9324000,       00.2197660,       00.0620207,       02.8958800,       00.2509903,      -00.2048599,       02.9624000,       00.3121529,      -00.4956208,       03.0816820,      -00.0669344,      -00.4325994,       02.8462000,      -00.0697960,      -00.8936328,       02.9678800,      -00.0441099,      -01.2298980,       03.0045600,       00.1458755,      -00.4297723,       02.8276000,       00.1752096,      -00.8664854,       02.9535610,       00.1553309,      -01.2324850,       03.0108800,       00.0054671,       00.3757111,       02.8976800,       00.1014424,       00.3499667,       02.8965200,      -00.0432643,       00.3332763,       02.9469600,       00.1248068,       00.3301369,       02.9192000
    3006.9340000,       00.0276608,       00.2998220,       02.8758400,       00.0277739,       00.0873585,       02.8876000,      -00.1646459,       00.0879224,       02.9062400,      -00.2877725,      -00.1812506,       02.9509200,       00.0000000,       00.0000000,       00.0000000,       00.2202122,       00.0621466,       02.9017600,       00.2751259,      -00.2057810,       02.9757200,       00.2981561,      -00.4733974,       02.9435000,      -00.0655798,      -00.4238447,       02.7886000,      -00.0677697,      -00.8676898,       02.8817200,      -00.0436202,      -01.2162420,       02.9712000,       00.1459787,      -00.4300764,       02.8296010,       00.1999471,      -00.8606296,       02.9336000,       00.1569240,      -01.2451260,       03.0417600,       00.0276077,       00.3468012,       02.8703200,       00.1005150,       00.3467673,       02.8700400,      -00.0434358,       00.3345972,       02.9586400,       00.1252104,       00.3053266,       02.9286400
    3006.9890000,       00.0277296,       00.3260430,       02.8830000,       00.0278712,       00.0876646,       02.8977200,      -00.1386638,       00.0877312,       02.8999200,      -00.2896176,      -00.1069674,       02.9698400,      -00.3777027,      -00.3212442,       02.8908400,       00.2191558,       00.0618485,       02.8878400,       00.2710134,      -00.2027050,       02.9312400,       00.2961524,      -00.4443818,       02.9237200,      -00.0655704,      -00.4237838,       02.7882000,      -00.0685176,      -00.8772649,       02.9135200,      -00.0696981,      -01.2131810,       02.9637200,       00.1480567,      -00.4361986,       02.8698800,       00.1940937,      -00.8354349,       02.8477200,       00.1532013,      -01.2155870,       02.9696000,       00.0274719,       00.3703328,       02.8562000,       00.1009955,       00.3484250,       02.8837600,      -00.0438827,       00.3380401,       02.9890840,       00.1789983,       00.3923870,       03.4696400
