       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      2064.05500,       -022.08262,       -010.93009,        022.08262,        010.93009
      2064.11500,       -018.30034,       -010.36003,        018.30034,        010.36003
      2064.17300,       -021.79376,       -011.56698,        021.79376,        011.56698
      2064.23200,       -019.50299,       -013.30305,        019.50299,        013.30305
      2064.29900,       -022.04561,       -010.56839,        022.04561,        010.56839
      2064.35900,       -026.34473,       -017.02065,        026.34473,        017.02065
      2064.42300,       -023.81262,       -017.35153,        023.81262,        017.35153
      2064.49100,       -019.68489,       -016.76019,        019.68489,        016.76019
      2064.54700,       -034.69592,       -027.68386,        034.69592,        027.68386
      2064.61100,       -026.73010,       -030.26752,        026.73010,        030.26752
      2064.66900,       -026.55063,        033.70700,        026.55063,        033.70700
      2064.73000,       -011.34279,       -039.70104,        011.34279,        039.70104
      2064.78500,       -008.37037,       -041.59679,        008.37037,        041.59679
      2064.84200,       -015.81240,       -041.44929,        015.81240,        041.44929
      2064.90000,       -023.81881,       -036.36171,        023.81881,        036.36171
      2064.96000,       -023.74901,       -024.79773,        023.74901,        024.79773
      2065.02100,       -017.43541,       -016.53919,        017.43541,        016.53919
      2065.08700,       -019.54327,       -018.56532,        019.54327,        018.56532
      2065.14500,       -013.65817,       -011.73769,        013.65817,        011.73769
      2065.20300,       -022.89993,       -016.90643,        022.89993,        016.90643
      2065.26000,       -019.87712,       -013.14174,        019.87712,        013.14174
      2065.31600,       -022.04789,       -019.06373,        022.04789,        019.06373
      2065.37500,       -024.75388,       -012.37116,        024.75388,        012.37116
      2065.43800,       -027.40392,       -011.33984,        027.40392,        011.33984
      2065.49600,       -022.41628,       -019.23273,        022.41628,        019.23273
      2065.55200,       -020.92697,       -018.49721,        020.92697,        018.49721
      2065.60900,       -026.26929,       -010.94764,        026.26929,        010.94764
      2065.67200,       -018.15522,        015.62306,        018.15522,        015.62306
      2065.72900,       -021.79212,       -020.07748,        021.79212,        020.07748
      2065.78500,       -014.70218,       -015.60220,        014.70218,        015.60220
      2065.84300,       -025.61681,       -022.56929,        025.61681,        022.56929
      2065.90000,       -024.10243,       -021.41050,        024.10243,        021.41050
      2065.96300,       -025.85394,       -026.33327,        025.85394,        026.33327
      2066.02700,       -027.56470,       -042.27747,        027.56470,        042.27747
      2066.08400,       -026.89620,       -034.08307,        026.89620,        034.08307
      2066.14300,       -034.17192,       -043.49979,        034.17192,        043.49979
      2066.20500,       -031.45536,       -047.83645,        031.45536,        047.83645
      2066.26300,       -031.28097,        051.75581,        031.28097,        051.75581
      2066.32000,       -033.40321,        048.93671,        033.40321,        048.93671
      2066.37700,       -017.92931,        059.19361,        017.92931,        059.19361
      2066.43400,       -026.34113,        060.81853,        026.34113,        060.81853
      2066.49600,        000.00000,        000.00000,        000.00000,        000.00000
      2066.55700,       -025.41906,       -055.56739,        025.41906,        055.56739
      2066.61200,        026.15408,       -066.13383,       -026.15408,        066.13383
      2066.66600,        020.79289,       -066.76783,       -020.79289,        066.76783
      2066.72600,       -029.10176,       -100.39960,        029.10176,        100.39960
      2066.78000,        000.00000,        000.00000,        000.00000,        000.00000
      2066.83800,       -033.45538,        107.40970,        033.45538,        107.40970
      2066.90000,       -029.19816,        099.48843,        029.19816,        099.48843
      2066.96400,       -023.68642,        108.85840,        023.68642,        108.85840
