       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    2064.0550000,       00.0526136,       00.3224241,       02.8510000,       00.0278023,       00.0874480,       02.8905600,      -00.1390770,       00.0879926,       02.9085610,      -00.1873707,      -00.2269649,       02.9102000,      -00.1873810,      -00.4198494,       02.9103600,       00.2210197,       00.0623745,       02.9124010,       00.2764684,      -00.2067851,       02.9902400,       00.3002528,      -00.4505344,       02.9642000,      -00.0669626,      -00.4107668,       02.8474000,      -00.0677528,      -00.8451983,       02.8810000,      -00.0444124,      -01.2383310,       03.0251600,       00.1478359,      -00.4355480,       02.8656000,       00.1983168,      -00.8279018,       02.9096800,       00.1759997,      -01.2144740,       02.9668810,       00.0275757,       00.3717332,       02.8670000,       00.1017674,       00.3767639,       02.9058000,      -00.0440125,       00.3622182,       02.9979210,       00.1799042,       00.3943729,       03.4872000
    2064.1150000,       00.0529975,       00.3469800,       02.8718000,       00.0276896,       00.0870935,       02.8788400,      -00.1401519,       00.0886727,       02.9310400,      -00.1891272,      -00.2290925,       02.9374800,      -00.1872574,      -00.4195724,       02.9084400,       00.2214113,       00.0624850,       02.9175600,       00.2762724,      -00.2066385,       02.9881200,       00.3011239,      -00.4518415,       02.9728000,      -00.0674236,      -00.4357609,       02.8670000,      -00.0680237,      -00.8709418,       02.8925200,      -00.0435779,      -01.2150640,       02.9683200,       00.1482796,      -00.4368552,       02.8742000,       00.2003097,      -00.8362216,       02.9389200,       00.2078425,      -01.2482690,       03.0494400,       00.0276815,       00.3731593,       02.8780000,       00.1013822,       00.3753377,       02.8948000,      -00.0438974,       00.3612710,       02.9900800,       00.1789137,       00.3922015,       03.4680000
    2064.1730000,       00.0275892,       00.3465692,       02.8684000,       00.0276373,       00.0869289,       02.8734000,      -00.1397999,       00.0884500,       02.9236800,      -00.1884395,      -00.2023980,       02.9268000,      -00.1900517,      -00.4258334,       02.9518400,       00.2201424,       00.0621269,       02.9008400,       00.2754328,      -00.2060105,       02.9790400,       00.2970803,      -00.4457741,       02.9328800,      -00.0666936,      -00.4310430,       02.8359600,      -00.0675581,      -00.8427692,       02.8727200,      -00.0432367,      -01.2055500,       02.9450800,       00.1470415,      -00.4332074,       02.8502000,       00.2003479,      -00.8363811,       02.9394810,       00.1771174,      -01.2221860,       02.9857210,       00.0054106,       00.3718264,       02.8677200,       00.0747769,       00.3702550,       02.8556000,      -00.0437928,       00.3604107,       02.9829600,       00.1253831,       00.3316614,       02.9326800
    2064.2320000,       00.0530543,       00.3473522,       02.8748810,       00.0276612,       00.0870039,       02.8758800,      -00.1383521,       00.0875339,       02.8934000,      -00.1876000,      -00.2014962,       02.9137600,      -00.1901650,      -00.3999889,       02.9536000,       00.2200028,       00.0620875,       02.8990000,       00.2740756,      -00.2049954,       02.9643600,       00.3014480,      -00.4523279,       02.9760000,      -00.0662816,      -00.4283801,       02.8184400,      -00.0680444,      -00.8488361,       02.8934000,      -00.0439426,      -01.2252320,       02.9931600,       00.1482239,      -00.4366911,       02.8731200,       00.1958004,      -00.8173970,       02.8727600,       00.2092384,      -01.2566530,       03.0699200,       00.0277585,       00.3741967,       02.8860000,       00.1012000,       00.3746635,       02.8896000,      -00.0439167,       00.3614304,       02.9914000,       00.1825250,       00.4001179,       03.5380000
    2064.2990000,       00.0279085,       00.3505805,       02.9016000,       00.0278374,       00.0875582,       02.8942000,      -00.1404694,       00.0888736,       02.9376800,      -00.1876669,      -00.2273237,       02.9148000,      -00.1877107,      -00.4205882,       02.9154810,       00.2200908,       00.0621123,       02.9001600,       00.2732767,      -00.2043979,       02.9557200,       00.2971897,      -00.4459383,       02.9339610,      -00.0661753,      -00.4276931,       02.8139200,      -00.0681375,      -00.8499978,       02.8973600,      -00.0437870,      -01.2208920,       02.9825600,       00.1458301,      -00.4296386,       02.8267200,       00.1962394,      -00.8192294,       02.8792000,       00.1778221,      -01.2270490,       02.9976000,       00.0054670,       00.3757007,       02.8976000,       00.0758851,       00.3757422,       02.8979200,      -00.0439643,       00.3618219,       02.9946400,       00.1251266,       00.3309828,       02.9266800
    2064.3590000,       00.0275661,       00.3462792,       02.8660000,       00.0277112,       00.0871612,       02.8810800,      -00.1388895,       00.0878740,       02.9046400,      -00.1896989,      -00.2297850,       02.9463600,      -00.1879785,      -00.4437616,       02.9196400,       00.2220518,       00.0626657,       02.9260000,       00.2789277,      -00.2086246,       03.0168400,       00.2992803,      -00.4490753,       02.9546000,      -00.0663512,      -00.4288300,       02.8214000,      -00.0676475,      -00.8438841,       02.8765200,      -00.0707818,      -01.2320430,       03.0098000,       00.1460344,      -00.4302405,       02.8306800,       00.1983958,      -00.8282319,       02.9108400,       00.2079079,      -01.2486620,       03.0504000,       00.0054326,       00.3733409,       02.8794000,       00.0752849,       00.3727705,       02.8750000,      -00.0439038,       00.3613241,       02.9905200,       00.1248547,       00.3302636,       02.9203200
    2064.4230000,       00.0277316,       00.3483573,       02.8832000,       00.0275954,       00.0867970,       02.8690400,      -00.1389163,       00.0878909,       02.9051990,      -00.1906698,      -00.2538578,       02.9614400,      -00.1752398,      -00.4188993,       03.0932380,       00.2204672,       00.0622185,       02.9051200,       00.2760912,      -00.2065029,       02.9861610,       00.2983242,      -00.4476405,       02.9451600,      -00.0666268,      -00.4306113,       02.8331200,      -00.0687067,      -00.8570974,       02.9215600,      -00.0706360,      -01.2295050,       03.0036000,       00.1451842,      -00.4277357,       02.8142000,       00.1984667,      -00.8285277,       02.9118800,       00.1794475,      -01.1614180,       03.0250000,       00.0054211,       00.3725474,       02.8732800,       00.0755782,       00.3742227,       02.8862010,      -00.0441534,       00.3633781,       03.0075200,       00.1253934,       00.3316886,       02.9329210
    2064.4910000,       00.0522674,       00.3203024,       02.8322400,       00.0533444,       00.0874493,       02.8906000,      -00.1394346,       00.0882189,       02.9160400,      -00.2148078,      -00.1801942,       02.9337200,      -00.2389181,      -00.3018910,       02.9513600,       00.2219152,       00.0626272,       02.9242000,       00.2747043,      -00.2054656,       02.9711600,       00.3013751,      -00.4522185,       02.9752800,      -00.0670520,      -00.4333594,       02.8512000,      -00.0690133,      -00.8836121,       02.9346000,      -00.0436431,      -01.2168810,       02.9727610,       00.1461294,      -00.4305202,       02.8325200,       00.2033795,      -00.8754037,       02.9839600,       00.2095764,      -01.2586830,       03.0748800,       00.0275007,       00.3707218,       02.8592000,       00.1005206,       00.3467866,       02.8702000,      -00.0437749,       00.3602632,       02.9817390,       00.1663980,       00.3647655,       03.2254000
    2064.5470000,       00.0276392,       00.3249800,       02.8736000,       00.0537349,       00.0880894,       02.9117600,      -00.1388321,       00.0878377,       02.9034400,      -00.2398280,      -00.1819680,       02.9626000,      -00.2593687,      -00.2731454,       02.8886800,       00.2194716,       00.0619376,       02.8920000,       00.2783212,      -00.2081709,       03.0102800,       00.2971695,      -00.4459079,       02.9337600,      -00.0671555,      -00.4340282,       02.8556000,      -00.0685430,      -00.8775901,       02.9146000,      -00.0439467,      -01.2253460,       02.9934400,       00.1448850,      -00.4268541,       02.8084000,       00.1958658,      -00.8176701,       02.8737200,       00.1810088,      -01.2490390,       03.0513200,       00.0054463,       00.3742796,       02.8866400,       00.0750230,       00.3461583,       02.8650000,      -00.0442979,       00.3645671,       03.0173610,       00.1240629,       00.3281691,       02.9018000
    2064.6110000,       00.0521818,       00.3197777,       02.8276000,       00.0538449,       00.0882697,       02.9177210,      -00.1383999,       00.0875642,       02.8944000,      -00.2844178,      -00.1791377,       02.9165200,      -00.3612572,      -00.3265827,       02.9388800,       00.2211320,       00.0624062,       02.9138800,       00.2756843,      -00.2061986,       02.9817600,       00.3025785,      -00.4540243,       02.9871600,      -00.0665845,      -00.4084471,       02.8313200,      -00.0684009,      -00.8532835,       02.9085600,      -00.0442133,      -01.2327800,       03.0116000,       00.1462387,      -00.4308424,       02.8346400,       00.1976870,      -00.8509014,       02.9004400,       00.2107324,      -01.2656260,       03.0918410,       00.0277696,       00.3743471,       02.8871600,       00.1011090,       00.3743264,       02.8870010,      -00.0439255,       00.3615029,       02.9920000,       00.1528381,       00.3350405,       02.9625600
