       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      1795.53300,       -021.36956,       -015.49368,        021.36956,        015.49368
      1795.59400,       -029.02922,       -008.99735,        029.02922,        008.99735
      1795.65900,       -026.79287,       -005.90027,        026.79287,        005.90027
      1795.72800,       -022.45543,       -011.00909,        022.45543,        011.00909
      1795.78600,       -022.13847,       -023.22199,        022.13847,        023.22199
      1795.84200,       -020.73022,        011.47708,        020.73022,        011.47708
      1795.91000,       -010.28474,       -014.40088,        010.28474,        014.40088
      1795.96600,       -027.62124,       -019.20179,        027.62124,        019.20179
      1796.02400,       -014.76922,       -025.70446,        014.76922,        025.70446
      1796.07900,       -024.06563,       -032.06739,        024.06563,        032.06739
      1796.13600,       -007.02258,       -031.11619,        007.02258,        031.11619
      1796.19400,       -020.53255,       -045.25284,        020.53255,        045.25284
      1796.25200,       -020.47727,       -055.61727,        020.47727,        055.61727
      1796.31100,       -020.16630,       -047.77645,        020.16630,        047.77645
      1796.37500,       -031.63420,        042.39500,        031.63420,        042.39500
      1796.43300,       -022.61116,       -041.60301,        022.61116,        041.60301
      1796.49200,       -009.52432,       -025.72811,        009.52432,        025.72811
      1796.55400,       -016.02021,       -025.84495,        016.02021,        025.84495
      1796.61000,       -012.94714,       -023.96398,        012.94714,        023.96398
      1796.66400,       -029.07078,       -009.31019,        029.07078,        009.31019
      1796.72500,       -024.10377,       -014.67495,        024.10377,        014.67495
      1796.78400,       -024.23320,       -022.78518,        024.23320,        022.78518
      1796.83800,       -024.37435,       -012.90673,        024.37435,        012.90673
      1796.89400,       -013.17213,       -010.85179,        013.17213,        010.85179
      1796.95600,       -027.52869,       -011.74239,        027.52869,        011.74239
      1797.01200,       -028.07006,       -011.92547,        028.07006,        011.92547
      1797.06900,       -026.47290,       -011.49117,        026.47290,        011.49117
      1797.12800,       -022.71895,        013.22171,        022.71895,        013.22171
      1797.19200,       -019.48080,        009.59430,        019.48080,        009.59430
      1797.24500,       -026.02624,       -012.53068,        026.02624,        012.53068
      1797.30700,       -024.39152,       -015.51892,        024.39152,        015.51892
      1797.36200,       -015.57853,        012.77106,        015.57853,        012.77106
      1797.42200,       -011.96225,        021.70604,        011.96225,        021.70604
      1797.47700,       -024.03327,        019.67421,        024.03327,        019.67421
      1797.54000,       -031.96224,        035.41432,        031.96224,        035.41432
      1797.59600,       -020.81343,        043.23671,        020.81343,        043.23671
      1797.66000,       -029.33739,        052.54781,        029.33739,        052.54781
      1797.71600,       -026.72881,        056.53199,        026.72881,        056.53199
      1797.77300,       -022.55282,        062.00784,        022.55282,        062.00784
      1797.82900,       -018.70738,       -080.38712,        018.70738,       -080.38712
      1797.88700,        000.00000,        000.00000,        000.00000,        000.00000
      1797.94100,       -025.05584,       -078.49490,        025.05584,       -078.49490
      1797.99700,       -023.55005,        090.73209,        023.55005,        090.73209
      1798.05800,       -032.24213,        093.55224,        032.24213,        093.55224
      1798.11200,       -018.79757,        108.74750,        018.79757,        108.74750
      1798.16600,       -023.45312,        102.14580,        023.45312,        102.14580
      1798.22300,       -020.63751,        100.36070,        020.63751,        100.36070
      1798.28200,       -016.67063,        108.11020,        016.67063,        108.11020
      1798.33800,       -020.70555,        111.06890,        020.70555,        111.06890
      1798.39500,       -028.47338,        102.25280,        028.47338,        102.25280
      1798.45300,       -019.58575,        104.99190,        019.58575,        104.99190
      1798.50800,       -026.71116,        103.59890,        026.71116,        103.59890
