       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    1839.7580000,       00.0530890,       00.3253373,       02.8767600,       00.0279385,       00.0878764,       02.9047200,      -00.1387805,       00.0878050,       02.9023600,      -00.1907445,      -00.2310516,       02.9626010,      -00.1866625,      -00.4182395,       02.8992000,       00.2224373,       00.0886739,       02.9310810,       00.2552672,      -00.1850563,       03.0128810,       00.2978826,      -00.4469779,       02.9408000,      -00.0667886,      -00.4316570,       02.8400000,      -00.0677754,      -00.8454800,       02.8819600,      -00.0430212,      -01.1995410,       02.9304000,       00.1468248,      -00.4325691,       02.8460000,       00.2016920,      -00.8419921,       02.9592000,       00.1817658,      -01.1764230,       03.0640800,       00.0276142,       00.3722519,       02.8710010,       00.1014690,       00.3756592,       02.8972800,      -00.0432578,       00.3332265,       02.9465200,       00.1257234,       00.3325616,       02.9406400
    1839.8270000,       00.0532603,       00.3487005,       02.8860400,       00.0278293,       00.0875328,       02.8933610,      -00.1401289,       00.0886582,       02.9305600,      -00.1870952,      -00.2266311,       02.9059200,      -00.1866625,      -00.4182395,       02.8992000,       00.2232478,       00.0630033,       02.9417600,       00.2515867,      -00.1823882,       02.9694400,       00.2966751,      -00.4451661,       02.9288800,      -00.0668977,      -00.4323623,       02.8446400,      -00.0674687,      -00.8416545,       02.8689200,      -00.0706153,      -01.2291450,       03.0027200,       00.1471446,      -00.4335114,       02.8522000,       00.1983413,      -00.8280044,       02.9100400,       00.1792197,      -01.1599440,       03.0211600,       00.0278243,       00.3750836,       02.8928410,       00.0761155,       00.3768832,       02.9067200,      -00.0435908,       00.3357915,       02.9692000,       00.1256191,       00.3322856,       02.9382000
    1839.8960000,       00.0529606,       00.3245502,       02.8698000,       00.0278889,       00.0877203,       02.8995600,      -00.1394155,       00.0882068,       02.9156400,      -00.1873450,      -00.2269337,       02.9098000,      -00.1866007,      -00.4405091,       02.8982400,       00.2231476,       00.0629750,       02.9404400,       00.2807694,      -00.2100020,       03.0367600,       00.2971249,      -00.4458410,       02.9333200,      -00.0664547,      -00.4294988,       02.8258000,      -00.0688939,      -00.8594327,       02.9295200,      -00.0697395,      -01.2139010,       02.9654800,       00.1479701,      -00.4359433,       02.8682000,       00.1994509,      -00.8326365,       02.9263200,       00.1798793,      -01.2412450,       03.0322800,       00.0278316,       00.3751821,       02.8936000,       00.1017814,       00.3768158,       02.9062000,      -00.0437552,       00.3370581,       02.9804000,       00.2101503,       00.4606762,       04.0734800
    1839.9530000,       00.0531540,       00.3480045,       02.8802800,       00.0278466,       00.0875872,       02.8951600,      -00.1390291,       00.0879623,       02.9075600,      -00.1896191,      -00.2296883,       02.9451210,      -00.1864359,      -00.4401200,       02.8956800,       00.2206949,       00.0622828,       02.9081200,       00.2796600,      -00.2091722,       03.0247600,       00.2973924,      -00.4462423,       02.9359610,      -00.0674518,      -00.4359432,       02.8682000,      -00.0690143,      -00.8836241,       02.9346400,      -00.0445609,      -01.2424730,       03.0352800,       00.1480485,      -00.4361743,       02.8697200,       00.2023517,      -00.8447465,       02.9688810,       00.1810824,      -01.2495470,       03.0525600,       00.0277154,       00.3736158,       02.8815200,       00.0765062,       00.3788177,       02.9216400,      -00.0436542,       00.3592701,       02.9735200,       00.1259013,       00.3330320,       02.9448000
    1840.0140000,       00.0533001,       00.3489615,       02.8882000,       00.0279528,       00.0879212,       02.9062000,      -00.1373575,       00.0869047,       02.8726000,      -00.1855938,      -00.2470995,       02.8826000,      -00.1882155,      -00.4701518,       02.9233200,       00.2204824,       00.0622228,       02.9053200,       00.2720859,      -00.2035072,       02.9428410,       00.2991791,      -00.4489234,       02.9536000,      -00.0666494,      -00.4307572,       02.8340800,      -00.0695777,      -00.8679640,       02.9586010,      -00.0702541,      -01.2228570,       02.9873600,       00.1466659,      -00.4321008,       02.8429200,       00.1998435,      -00.8342754,       02.9320800,       00.1783346,      -01.2305860,       03.0062400,       00.0276277,       00.3724333,       02.8724000,       00.1029707,       00.3812191,       02.9401600,      -00.0435362,       00.3353708,       02.9654810,       00.1257781,       00.3327063,       02.9419200
    1840.0740000,       00.0533223,       00.3491065,       02.8894000,       00.0278166,       00.0874928,       02.8920410,      -00.1672270,       00.0893007,       02.9518000,      -00.1864256,      -00.2258200,       02.8955200,      -00.1893049,      -00.4468927,       02.9402400,       00.2218302,       00.0626032,       02.9230800,       00.2748411,      -00.2055680,       02.9726400,       00.2990778,      -00.4487713,       02.9526000,      -00.0662449,      -00.4281430,       02.8168800,      -00.0688205,      -00.8585173,       02.9264000,      -00.0702955,      -01.2235780,       02.9891200,       00.1479804,      -00.4359737,       02.8684000,       00.1999444,      -00.8346966,       02.9335600,       00.1786098,      -01.2324850,       03.0108800,       00.0276277,       00.3724334,       02.8724010,       00.1015516,       00.3759652,       02.8996400,      -00.0441739,       00.3635472,       03.0089200,       00.1254566,       00.3318559,       02.9344000
    1840.1320000,       00.0532447,       00.3262917,       02.8852000,       00.0278327,       00.0875436,       02.8937210,      -00.1394652,       00.0882382,       02.9166800,      -00.2165973,      -00.2307053,       02.9581600,      -00.1922408,      -00.4307382,       02.9858400,       00.2211441,       00.0624096,       02.9140400,       00.2530034,      -00.1834151,       02.9861610,       00.2977205,      -00.4240100,       02.9392000,      -00.0667039,      -00.4311099,       02.8364000,      -00.0684705,      -00.8541520,       02.9115200,      -00.0439508,      -01.2254610,       02.9937210,       00.1473035,      -00.4339795,       02.8552800,       00.2007650,      -00.8381224,       02.9456000,       00.1805698,      -01.2460100,       03.0439200,       00.0278978,       00.3760741,       02.9004800,       00.1019243,       00.3773448,       02.9102800,      -00.0438140,       00.3375105,       02.9844000,       00.2070508,       00.4538817,       04.0134000
    1840.1940000,       00.0531385,       00.3479030,       02.8794400,       00.0278085,       00.0874674,       02.8912000,      -00.1396546,       00.0883580,       02.9206400,      -00.2405339,      -00.2054767,       02.9713200,      -00.2377135,      -00.3003689,       02.9364800,       00.2211411,       00.0624087,       02.9140010,       00.2778848,      -00.2078445,       03.0055600,       00.2983525,      -00.4476830,       02.9454400,      -00.0674885,      -00.4361804,       02.8697610,      -00.0682109,      -00.8509132,       02.9004800,      -00.0442638,      -01.2341880,       03.0150400,       00.1467464,      -00.4323380,       02.8444800,       00.2020873,      -00.8436424,       02.9650000,       00.1808261,      -01.2477780,       03.0482400,       00.0278528,       00.3754674,       02.8958010,       00.1020882,       00.3779517,       02.9149600,      -00.0437529,       00.3370400,       02.9802400,       00.1930390,       00.4231660,       03.7418010
    1840.2480000,       00.0534131,       00.3273232,       02.8943200,       00.0277970,       00.0874311,       02.8900000,      -00.1389545,       00.0879151,       02.9060000,      -00.2629531,      -00.2283999,       02.9286000,      -00.2626407,      -00.2765911,       02.9251200,       00.2216177,       00.0625432,       02.9202800,       00.2534710,      -00.1837542,       02.9916800,       00.3003177,      -00.4277089,       02.9648410,      -00.0671131,      -00.4337545,       02.8538000,      -00.0682382,      -00.8512533,       02.9016390,      -00.0704140,      -01.2256410,       02.9941590,       00.1495756,      -00.4406733,       02.8993200,       00.1999962,      -00.8349130,       02.9343210,       00.1750150,      -01.2076790,       02.9502800,       00.0279951,       00.3773863,       02.9106000,       00.1025449,       00.3796424,       02.9280000,      -00.0434610,       00.3347917,       02.9603600,       00.1950468,       00.4275675,       03.7807200
    1840.3050000,       00.0532470,       00.3486134,       02.8853200,       00.0280193,       00.0881305,       02.9131200,      -00.1405287,       00.0889111,       02.9389200,      -00.2677262,      -00.1567977,       02.9817600,      -00.3325234,      -00.2756001,       02.9146400,       00.2197872,       00.0620266,       02.8961600,       00.2519256,      -00.1826338,       02.9734400,       00.2950180,      -00.4201610,       02.9125200,      -00.0670144,      -00.4110842,       02.8496000,      -00.0686907,      -00.8568980,       02.9208800,      -00.0707056,      -01.2307170,       03.0065600,       00.1483436,      -00.4148119,       02.8754400,       00.1999117,      -00.8118826,       02.9330800,       00.1778932,      -01.1281730,       02.9987990,       00.0278835,       00.3758821,       02.8989990,       00.1018374,       00.3770232,       02.9078000,      -00.0433547,       00.3339729,       02.9531200,       00.1968917,       00.4316116,       03.8164800
    1840.3630000,       00.0528351,       00.3237811,       02.8630000,       00.0538685,       00.0883084,       02.9190000,      -00.1416667,       00.0896311,       02.9627200,      -00.2853930,      -00.1054071,       02.9265200,      -00.3852755,      -00.3016292,       02.9488000,       00.2208527,       00.0623273,       02.9102000,       00.2528881,      -00.1833316,       02.9848000,       00.3032591,      -00.4318981,       02.9938800,      -00.0674518,      -00.4359432,       02.8682000,      -00.0686220,      -00.8560412,       02.9179600,      -00.0440612,      -01.2285390,       03.0012400,       00.1474645,      -00.4123536,       02.8584000,       00.1985294,      -00.8287897,       02.9128000,       00.2082405,      -01.2506600,       03.0552800,       00.0277777,       00.3744560,       02.8880000,       00.0759814,       00.3762193,       02.9016000,      -00.0439948,       00.3389037,       02.9967200,       00.1252497,       00.3313086,       02.9295610
    1840.4200000,       00.0528978,       00.3463275,       02.8664000,       00.0534514,       00.0876247,       02.8964000,      -00.1389966,       00.0879418,       02.9068800,      -00.2636391,      -00.0830554,       02.9362400,      -00.3859758,      -00.2793370,       02.9541600,       00.2226711,       00.0628405,       02.9341600,       00.2761947,      -00.2065804,       02.9872800,       00.2986888,      -00.4481877,       02.9487600,      -00.0656551,      -00.4027460,       02.7918000,      -00.0683643,      -00.8528261,       02.9070010,      -00.0710226,      -01.2362350,       03.0200400,       00.1462036,      -00.4088280,       02.8339600,       00.1981314,      -00.8271279,       02.9069600,       00.1826390,      -01.2602880,       03.0788000,       00.0278901,       00.3759704,       02.8996800,       00.1018164,       00.3769454,       02.9072000,      -00.0436554,       00.3362890,       02.9736000,       00.1821556,       00.3993082,       03.5308400
