"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.160","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T15:41:07.351Z","EXGAVINE flexion_kreisend_gestreckt_"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.155,Aktivität,,0,0.2731953041,-0.6700257173,-0.6391640361,0.2605747473,886.71875,-63.96484375,444.8242188,7.337425668,-6.004042388,-5.947515428,-44.36238215,-2.701939974,-0.002848613743,0.5058693655,-0.5032769028,-0.4942202603,0.496542927,998.046875,75.1953125,-43.9453125,-17.31455197,-3.118540189,1.685365375,-90.28151003,-1.053322591,-0.0128711599,0.6643274405,-0.2551518538,-0.2587747847,0.6531479114,983.8867188,-197.7539063,-109.375,-25.30142026,9.711896841,9.142254882,-137.3761562,-0.737235592,-0.60273125,2.120264505,-45.90114344,1.978374136,0.7632055426,0.9929301182,-0.9564992946,0.5831801554,583.9145226,26.07604539,-26.30327098,901.2462086,49.77582779,-49.47166283,733.5949026,-20.49415996,21.31724941,868.6691519,-81.08048209,-96.46144699,870.6375426,98.60331556,79.26779545,870.6500243,-86.69062975,-93.22014894,854.7604374,95.4887762,84.94977743,854.7730925,97.56418384,81.93969527,669.1162193,94.08447199,110.8610926,669.3181489,98.21475906,96.29232629,669.1312301,74.53545369,95.50962737,528.0618798,91.59981933,81.03786801,529.7356849
-1.145,,,0,0.2729527272,-0.6701490096,-0.6391443279,0.260560246,903.8085938,-48.828125,438.4765625,-12.92533527,-7.972590281,5.6267843,-44.3404133,-2.705697067,0.01812606789,0.5057979426,-0.5033272373,-0.4943504684,0.4964350389,1000.976563,74.21875,-37.59765625,-13.83268025,2.137668417,4.330708787,-90.26082832,-1.050848219,-0.01973292233,0.6643290171,-0.2553024286,-0.2589464328,0.6530194269,977.0507813,-202.6367188,-124.5117188,-38.35729278,-0.6724595273,4.848895567,-137.34801,-0.7462840812,-0.6083360665,2.138703012,-45.90276075,1.988809256,0.7871995698,0.9882745673,-0.952973921,0.5893096225,583.9142648,26.08203303,-26.29158319,901.2476266,49.77441922,-49.47290477,733.5952744,-20.47611446,21.33773969,868.6662036,-81.10919554,-96.41606771,870.68329,98.64499476,79.24115162,870.6038678,-86.72146862,-93.17732426,854.8064147,95.52930766,84.91957868,854.7258894,97.58344202,81.9517326,669.0871896,94.11412544,110.8743402,669.2945726,98.23917802,96.30412561,669.1049663,74.56449233,95.55882434,528.0345185,91.62170644,81.0784004,529.7062801
-1.135,,,0,0.2727101297,-0.6702722519,-0.639124572,0.2605457254,898.9257813,-53.7109375,436.0351563,-9.11139685,-3.813142485,0.4906420756,-44.31844575,-2.709462183,0.03909939666,0.5057265011,-0.5033775531,-0.4944806587,0.4963271333,1010.253906,84.9609375,-38.0859375,-6.457941184,-4.603996991,14.50428922,-90.24014695,-1.048371289,-0.02659376081,0.6643305479,-0.2554529865,-0.2591180624,0.6528908979,981.9335938,-187.0117188,-130.859375,-27.4677408,-14.47284824,7.634458218,-137.3198629,-0.7553298226,-0.6139452151,2.157308006,-45.90438041,1.999254095,0.8111895091,0.9836187617,-0.9494487165,0.5954408355,583.9140073,26.08801287,-26.2798816,901.2490519,49.77300932,-49.47414477,733.5956474,-20.45807417,21.35823764,868.6632576,-81.13789375,-96.37064729,870.7290422,98.68664056,79.21449289,870.5577227,-86.75229323,-93.13445752,854.852398,95.56980406,84.88936516,854.678699,97.60269457,81.96377241,669.0581672,94.14377388,110.8875855,669.2710039,98.26359136,96.315925,669.0787099,74.59354395,95.60801912,528.0071715,91.64360235,81.11893449,529.6768878
-1.125,,,0,0.2724675116,-0.6703954442,-0.6391047684,0.2605311854,896.484375,-56.640625,433.1054688,-7.861551921,-0.09373744914,-2.798451016,-44.2964795,-2.713235321,0.06007137134,0.505655041,-0.5034278502,-0.4946108311,0.4962192105,1000.976563,77.1484375,-40.0390625,-13.05890971,-1.823643072,4.656770152,-90.21946594,-1.045891801,-0.03345367468,0.6643320329,-0.2556035276,-0.2592896734,0.6527623243,980.46875,-187.5,-134.765625,-30.02666932,-17.77953918,6.687280403,-137.2917148,-0.7643728149,-0.6195586949,2.17607521,-45.90600244,2.009708655,0.8351753596,0.9789627014,-0.9459236361,0.6015737998,583.9137502,26.09398513,-26.26816617,901.2504847,49.77159812,-49.47538283,733.5960216,-20.44003888,21.37874327,868.6603137,-81.16657651,-96.3251857,870.7747991,98.72825316,79.18781929,870.5115888,-86.78310336,-93.0915487,854.8983872,95.61026561,84.85913692,854.6315212,97.62194163,81.9758147,669.029152,94.17341747,110.9008285,669.2474429,98.28799922,96.32772449,669.0524609,74.6226087,95.65721174,527.9798388,91.66550722,81.15947029,529.647508
-1.115,,,0,0.2722080183,-0.6705294413,-0.6390824856,0.2605122641,895.5078125,-57.6171875,438.4765625,-3.151893949,-2.707177236,-1.25157564,-44.2726957,-2.717633747,0.08234255317,0.5055775572,-0.5035242454,-0.4947076709,0.496103808,1003.417969,81.54296875,-41.50390625,-10.72483776,-5.651804204,7.508057021,-90.19731935,-1.048036305,-0.03585026174,0.6643178305,-0.2557734125,-0.2595114928,0.6526220704,980.46875,-191.40625,-122.5585938,-26.75053593,-5.472191272,6.096613213,-137.2575009,-0.7721663262,-0.6274282634,2.190259688,-45.90794984,2.01437082,0.8606786082,0.9813525957,-0.9417154849,0.6075878773,583.9134315,26.09993524,-26.25555233,901.252157,49.77005951,-49.47672301,733.5964595,-20.42074309,21.40090068,868.6568875,-81.19782171,-96.27599322,870.8233763,98.77300954,79.15890544,870.4625833,-86.81650922,-93.0450974,854.9471708,95.65391692,84.82639707,854.5813668,97.6581791,81.97252208,668.997467,94.22117219,110.8988602,669.2218336,98.32994902,96.32416052,669.0237324,74.66292545,95.69512059,527.9512898,91.69720463,81.18691426,529.6160119
-1.105,,,0,0.2719444196,-0.6706688802,-0.6390583336,0.260487873,897.9492188,-64.94140625,437.5,0.7040934482,4.252195443,0.9584700605,-44.24808849,-2.722632983,0.1047131337,0.5054995482,-0.5036795441,-0.4947441128,0.4959893008,997.5585938,84.9609375,-47.8515625,-11.96085313,-13.16983204,2.155065055,-90.17534124,-1.05692372,-0.03131868638,0.6642802749,-0.2559538369,-0.25979141,0.6524781782,977.5390625,-193.8476563,-125.4882813,-30.79426794,-6.739030557,3.948773497,-137.217305,-0.7770290987,-0.6383487296,2.196424388,-45.91081767,2.009979102,0.8863138182,0.994605423,-0.9368564887,0.6129248411,583.9130458,26.10532064,-26.24263942,901.2540581,49.76845244,-49.47811058,733.5969593,-20.40112494,21.42374208,868.6529966,-81.23043834,-96.22517772,870.8721447,98.81888124,79.12893816,870.4133346,-86.85114656,-92.99707763,854.9960858,95.69885801,84.79251208,854.5309033,97.71692486,81.94635244,668.9643997,94.29190673,110.8740614,669.1952687,98.39463371,96.29770591,668.9936391,74.71540929,95.71251055,527.9234835,91.73968017,81.19208247,529.5840216
-1.095,,,0,0.2716916729,-0.6708075643,-0.6390331189,0.2604563676,904.7851563,-55.6640625,435.546875,-9.151923359,0.8525460565,5.659615681,-44.22378814,-2.728212935,0.1257492382,0.5054286565,-0.5039063683,-0.4946872679,0.4958878423,995.6054688,84.9609375,-40.52734375,-6.915758392,-7.74732856,-0.00838649354,-90.15585625,-1.074903784,-0.01697164788,0.6642099157,-0.2561310008,-0.2601384991,0.6523419806,983.3984375,-177.734375,-106.9335938,-6.316272075,0.1742007266,5.015851998,-137.1715452,-0.7767141069,-0.653425562,2.190597397,-45.9157441,1.992819651,0.9103420037,1.023375718,-0.9314178364,0.6169268223,583.9125877,26.10947183,-26.23015383,901.2561777,49.76684334,-49.47948463,733.5975197,-20.3822749,21.44614423,868.6486524,-81.26309628,-96.1751725,870.9179599,98.86354002,79.09925592,870.3669808,-86.88547254,-92.94975954,855.0419454,95.74292261,84.75903594,854.4833139,97.80426051,81.88845759,668.9315188,94.39074134,110.8174716,669.1690692,98.48765419,96.23953558,668.9635241,74.77986443,95.69822902,527.8988915,91.7929109,81.16397985,529.5535421
-1.085,,,0,0.2714664358,-0.6709385869,-0.6390079703,0.2604154388,893.5546875,-63.96484375,440.4296875,3.853835307,0.9779109824,-1.754548188,-44.20100932,-2.734345921,0.1438101787,0.5053745716,-0.504215808,-0.4944991792,0.4958160174,999.0234375,90.8203125,-25.87890625,6.916465589,-0.4168609122,3.452970675,-90.14194864,-1.104391666,0.01042552674,0.6640955858,-0.2562853206,-0.2605626459,0.6522284837,973.6328125,-190.9179688,-107.421875,-19.38760183,6.673347835,-2.237718231,-137.1210756,-0.7683723398,-0.674094196,2.168401944,-45.92453154,1.958884967,0.9306371747,1.073031212,-0.9255229652,0.6188511187,583.9120543,26.11160568,-26.21895189,901.2585009,49.76530293,-49.48078171,733.5981386,-20.3653941,21.46686284,868.6438694,-81.29439302,-96.12864647,870.9572215,98.90445456,79.07127429,870.3271106,-86.91783694,-92.9056174,855.0811011,95.78377241,84.72763559,854.4422386,97.92637984,81.78890777,668.9006752,94.52255965,110.71901,669.1447831,98.61454938,96.13975228,668.9349571,74.85441662,95.63936538,527.8805154,91.85532441,81.08998942,529.5269694
-1.075,,,0,0.2712868688,-0.67105424,-0.6389845122,0.2603621227,899.9023438,-59.08203125,438.4765625,-2.927216449,0.7099687599,2.779905021,-44.18103439,-2.740970589,0.1570555923,0.5053486631,-0.504615709,-0.4941386058,0.4957950717,1014.160156,95.703125,-32.2265625,5.713696278,-7.017497695,19.13520712,-90.13745435,-1.147629275,0.05429266608,0.6639248865,-0.2563906396,-0.2610734407,0.6521566097,980.9570313,-188.9648438,-89.35546875,-6.845536358,20.71824885,2.742590062,-137.0673543,-0.7485809082,-0.7021002407,2.125264905,-45.93965607,1.904130264,0.9446438827,1.149386657,-0.919368961,0.6178895991,583.9114494,26.1108438,-26.21003732,901.2609987,49.76390536,-49.48193722,733.5988105,-20.35177498,21.48453681,868.6386862,-81.3228674,-96.08848234,870.9858917,98.93892661,79.04645428,870.2977493,-86.94650149,-92.86730226,855.1094634,95.81892855,84.70006403,854.4117635,98.08887161,81.63722408,668.8740529,94.69128896,110.5680076,669.1242355,98.78007771,95.98791911,668.9097868,74.93487759,95.52173973,527.8719283,91.92320367,80.95640851,529.5071411
-1.065,,,0,0.2711726261,-0.6711459095,-0.6389649032,0.2602929648,897.9492188,-60.546875,430.1757813,-6.396889022,6.890999979,-2.532446528,-44.16522725,-2.747976359,0.1634545503,0.5053633216,-0.505108683,-0.4935641624,0.4958503294,1026.855469,99.609375,-29.296875,9.461179943,-6.539023141,32.0272358,-90.14682741,-1.206379402,0.1179503772,0.6636852045,-0.2564137379,-0.2616780969,0.6521491532,978.515625,-186.5234375,-86.9140625,-3.895748972,21.3249961,-0.316078429,-137.012669,-0.7134718553,-0.7394087433,2.056758557,-45.96412257,1.824871947,0.9493768841,1.258255005,-0.9132528997,0.6132034391,583.9107879,26.10623293,-26.20456198,901.2636232,49.76272953,-49.48288432,733.5995248,-20.342802,21.49767962,868.6331785,-81.34696977,-96.05779783,870.9995165,98.9640747,79.0263199,870.2833411,-86.96961566,-92.83766288,855.1225261,95.84574887,84.67817871,854.3964039,98.2957624,81.42334293,668.8542377,94.89899682,110.3541771,669.1095965,98.98728632,95.77402203,668.8902174,75.01419889,95.33085223,527.8772942,91.99019195,80.74946136,529.4973922
-1.055,,,0,0.271144833,-0.671204142,-0.6389516465,0.2602042903,894.0429688,-63.4765625,437.5,1.567335478,3.386577283,-2.636260679,-44.15505622,-2.755214947,0.1608159707,0.5054313179,-0.5056899909,-0.4927388824,0.4960092839,1025.878906,84.9609375,-16.6015625,5.436221636,12.44775813,29.43528397,-90.17485403,-1.281605361,0.2041697333,0.6633653138,-0.2563144979,-0.2623784228,0.6522322454,977.0507813,-180.1757813,-76.66015625,6.549024715,26.47790627,-3.895411314,-136.9603906,-0.6589917736,-0.7880273556,1.959117215,-46.00116105,1.718339088,0.9415485104,1.404836366,-0.9075935535,0.603984964,583.9100968,26.09676361,-26.20378981,901.2663125,49.76186078,-49.48355142,733.6002674,-20.33995897,21.50468157,868.6274526,-81.36502044,-96.03996095,870.9932939,98.97680073,79.01250263,870.2886838,-86.98518041,-92.81977076,855.1154347,95.86138827,84.66397704,854.4010383,98.54850986,81.13914368,668.8442716,95.14500422,110.0691519,669.1034399,99.23656365,95.48999296,668.8788778,75.08229081,95.05345574,527.9013205,92.04716413,80.45694049,529.5015807
-1.045,,,0,0.2712258301,-0.6712189157,-0.6389472511,0.2600925345,897.9492188,-65.4296875,436.0351563,0.5601309639,7.054112425,0.3351571835,-44.15210335,-2.762530127,0.1468515036,0.5055659361,-0.5063455621,-0.4916358049,0.4962977849,1034.179688,22.4609375,-16.6015625,-43.71980455,54.40029435,32.20003793,-90.22622876,-1.373252794,0.3145156706,0.66295753,-0.2560469589,-0.2631670945,0.6524341719,976.0742188,-148.4375,-48.33984375,48.01369968,33.55864027,-13.25797966,-136.9152082,-0.5813022026,-0.8497508216,1.829932737,-46.05380185,1.583317787,0.9179412449,1.593057012,-0.902930722,0.5895535762,583.9094157,26.08139495,-26.20902807,901.2690038,49.76139159,-49.48385967,733.6010241,-20.34482372,21.50383693,868.6216249,-81.37518445,-96.03855981,870.9622137,98.9737824,79.00677749,870.3187923,-86.99103064,-92.81690785,855.0831247,95.86278297,84.65961469,854.4307669,98.84534068,80.78064164,668.8476678,95.42540062,109.7086943,669.1087684,99.52506498,95.13189568,668.8788643,75.12660234,94.67988854,527.9491223,92.08284967,80.07060134,529.5240577
-1.035,,,0,0.2714384816,-0.6711801532,-0.6389537496,0.2599547241,901.3671875,-70.3125,435.0585938,1.91384546,12.29818279,3.258554037,-44.15805057,-2.769799531,0.1192935841,0.5057821762,-0.5070505673,-0.4902437693,0.4967344956,1001.953125,-39.0625,-31.25,-100.260644,82.71580728,-5.254603129,-90.30503971,-1.480216339,0.4485449877,0.6624600719,-0.255561559,-0.2640239489,0.6527834994,997.0703125,-127.9296875,-32.71484375,78.85734728,35.8060019,2.040379936,-136.883258,-0.4772859306,-0.9258525065,1.668973494,-46.12438656,1.420784016,0.876056094,1.824977541,-0.8998910953,0.5694804779,583.9087943,26.05910254,-26.22151678,901.2716513,49.76142103,-49.483721,733.6017845,-20.35903621,21.49340709,868.6157934,-81.37546897,-96.0573038,870.9013175,98.95151631,79.01108037,870.3786425,-86.9848476,-92.83249584,855.0205831,95.84667914,84.66739366,854.4906488,99.18119199,80.35063075,668.8683269,95.73319546,109.275357,669.1289496,99.84675815,94.70255986,668.8936909,75.13360645,94.20695842,528.0259458,92.08533033,79.5890769,529.569518
-1.025,,,0,0.2718048379,-0.6710785846,-0.6389719722,0.2597893034,898.9257813,-80.56640625,437.5,11.53069746,17.67647278,2.75587325,-44.17464244,-2.776991616,0.07610539496,0.5060978603,-0.5077696857,-0.4885726384,0.4973245208,1014.160156,2.9296875,-29.78515625,-71.53662205,60.5826141,10.26175801,-90.41412727,-1.600490485,0.6030838036,0.6618788561,-0.2548089302,-0.2649140519,0.6533064626,1062.5,-150.8789063,-48.33984375,67.93651052,34.52984311,71.54083231,-136.8719575,-0.3450614497,-1.016807053,1.478962159,-46.21397985,1.234370923,0.8149038698,2.100390342,-0.8991234029,0.5437191717,583.9082861,26.02897197,-26.24224882,901.2742501,49.76205297,-49.48303613,733.6025487,-20.38422933,21.47173282,868.6099987,-81.36373687,-96.09984048,870.806161,98.90642549,79.02751695,870.4727134,-86.96420159,-92.86995889,854.9233118,95.80971303,84.68972294,854.585233,99.54821355,79.8610347,668.9102511,96.05908849,108.7808591,669.1674561,100.1930592,94.21392231,668.9270416,75.09084414,93.64068377,528.136683,92.04402318,79.02056564,529.6426325
